Dates,Value,Event,Alert,Vix
2007-02-28,1406.82,Mortgage giant Freddie Mac says it will no longer buy the most risky subprime loans.,1,14.5
2007-03-01,1403.17,,0,15.36
2007-03-02,1387.17,,0,16.04
2007-03-05,1374.12,,0,18.13
2007-03-06,1395.41,,0,15.76
2007-03-07,1391.97,,0,14.52
2007-03-08,1401.89,,0,13.48
2007-03-09,1402.85,,0,13.67
2007-03-12,1406.6,,0,13.76
2007-03-13,1377.95,,0,14.6
2007-03-14,1387.17,,0,16.75
2007-03-15,1392.28,,0,15.27
2007-03-16,1386.95,,0,15.29
2007-03-19,1402.06,,0,14.58
2007-03-20,1410.94,,0,13.25
2007-03-21,1435.04,,0,11.21
2007-03-22,1434.54,,0,12.04
2007-03-23,1436.11,,0,12.46
2007-03-26,1437.5,,0,12.91
2007-03-27,1428.61,,0,13.35
2007-03-28,1417.23,,0,14.22
2007-03-29,1422.53,,0,14.34
2007-03-30,1420.86,,0,14.14
2007-04-02,1424.55,Subprime mortgage lender New Century Financial files for bankruptcy-court protection.,1,14.4
2007-04-03,1437.77,,0,12.81
2007-04-04,1439.37,,0,13.2
2007-04-05,1443.76,,0,12.69
2007-04-09,1444.61,,0,12.89
2007-04-10,1448.39,,0,12.56
2007-04-11,1438.87,,0,12.72
2007-04-12,1447.8,,0,12.58
2007-04-13,1452.85,,0,12.13
2007-04-16,1468.47,,0,11.46
2007-04-17,1471.48,,0,11.5
2007-04-18,1472.5,,0,11.95
2007-04-19,1470.73,,0,12.41
2007-04-20,1484.35,,0,11.97
2007-04-23,1480.93,,0,12.48
2007-04-24,1480.41,,0,13.04
2007-04-25,1495.42,,0,12.58
2007-04-26,1494.25,,0,12.67
2007-04-27,1494.07,,0,12.41
2007-04-30,1482.37,,0,12.78
2007-05-01,1486.3,,0,13.48
2007-05-02,1495.92,,0,12.55
2007-05-03,1502.39,,0,12.89
2007-05-04,1505.62,,0,12.59
2007-05-07,1509.48,,0,13.11
2007-05-08,1507.72,,0,13.16
2007-05-09,1512.58,,0,12.54
2007-05-10,1491.47,,0,12.89
2007-05-11,1505.85,,0,12.63
2007-05-14,1503.15,,0,13.01
2007-05-15,1501.19,,0,13.27
2007-05-16,1514.14,,0,13.47
2007-05-17,1512.75,,0,13.25
2007-05-18,1522.75,,0,12.69
2007-05-21,1525.1,,0,12.7
2007-05-22,1524.12,,0,12.08
2007-05-23,1522.28,,0,12.55
2007-05-24,1507.51,,0,12.92
2007-05-25,1515.73,,0,13.23
2007-05-29,1518.11,,0,13.31
2007-05-30,1530.23,,0,12.82
2007-05-31,1530.62,,0,12.62
2007-06-01,1536.34,,0,12.43
2007-06-04,1539.18,,0,13.21
2007-06-05,1530.95,,0,13.54
2007-06-06,1517.38,,0,14.06
2007-06-07,1490.72,,0,14.89
2007-06-08,1507.67,,0,14.73
2007-06-11,1509.12,,0,14.24
2007-06-12,1493,,0,14.77
2007-06-13,1515.67,,0,14.67
2007-06-14,1522.97,,0,13.59
2007-06-15,1532.91,,0,12.58
2007-06-18,1531.05,,0,13.35
2007-06-19,1533.7,,0,12.79
2007-06-20,1512.84,,0,12.75
2007-06-21,1522.19,,0,14.17
2007-06-22,1502.56,,0,14.31
2007-06-25,1497.74,,0,15.41
2007-06-26,1492.89,,0,16.21
2007-06-27,1506.34,,0,15.44
2007-06-28,1505.71,,0,14.98
2007-06-29,1503.35,,0,14.62
2007-07-02,1519.43,,0,15.31
2007-07-03,1524.87,,0,14.85
2007-07-05,1525.4,,0,15.17
2007-07-06,1530.44,,0,14.67
2007-07-09,1531.85,,0,15.03
2007-07-10,1510.12,,0,15.83
2007-07-11,1518.76,,0,16.64
2007-07-12,1547.7,,0,14.93
2007-07-13,1552.5,,0,14.79
2007-07-16,1549.52,,0,15.27
2007-07-17,1549.37,,0,15.31
2007-07-18,1546.17,,0,15.95
